  sta seedchan net location config   ondate     offdate   digitizer  clip   corr
 MVCO   BH2     US    00       1   2011/05/02  2099/01/01 Q330SR    5.87e6 -0.78
 MVCO   BHZ     US    00   exclude 2011/05/02  2099/01/01 Q330SR    5.87e6  0.00
 MVU    BHE     LB    01       1   1998/12/08  2013/10/30 Quanterra 5.87e6 -0.11
 MVU    BHN     LB    01       1   1998/12/08  2013/10/30 Quanterra 5.87e6 -0.11
 MVU    HHE     LB    01       1   2013/10/31  2016/09/30 Quanterra 5.87e6 -0.11
 MVU    HHN     LB    01       1   2013/10/31  2016/09/30 Quanterra 5.87e6 -0.11
 MVU    HHE     LB    --       1   2013/10/30  2099/01/01 Quanterra 5.87e6 -0.11
 MVU    HHN     LB    --       1   2013/10/30  2099/01/01 Quanterra 5.87e6 -0.11
 NLU    HHE     UU    01       1   2001/10/24  2010/07/05 72A-08    3.67e6  0.14
 NLU    HHN     UU    01       1   2001/10/24  2010/07/05 72A-08    3.67e6  0.14
 NLU    HHZ     UU    01   exclude 2001/10/24  2010/07/05 72A-08    3.67e6  0.00
 NLU    HHE     UU    01       1   2010/07/06  2099/01/01 130-01    4.41e6  0.14
 NLU    HHN     UU    01       1   2010/07/06  2099/01/01 130-01    4.41e6  0.14
 NLU    HHZ     UU    01   exclude 2010/07/06  2099/01/01 130-01    4.41e6  0.00
 NLU    ENE     UU    01       2   2001/10/24  2010/07/05 72A-08    5.19e6  0.14
 NLU    ENN     UU    01       2   2001/10/24  2010/07/05 72A-08    5.19e6  0.14
 NLU    ENE     UU    01       2   2010/07/06  2099/01/01 130-01    6.23e6  0.14
 NLU    ENN     UU    01       2   2010/07/06  2099/01/01 130-01    6.23e6  0.14
 NOQ    HHE     UU    01       1   1997/08/27  2010/05/16 72A-07/08 3.67e6 -0.08
 NOQ    HHN     UU    01       1   1997/08/27  2010/05/16 72A-07/08 3.67e6 -0.08
 NOQ    HHZ     UU    01   exclude 1997/08/27  2010/05/16 72A-07/08 3.67e6  0.00
 NOQ    HHE     UU    01       1   2010/05/17  2099/01/01 130-01    4.41e6 -0.08
 NOQ    HHN     UU    01       1   2010/05/17  2099/01/01 130-01    4.41e6 -0.08
 NOQ    HHZ     UU    01   exclude 2010/05/17  2099/01/01 130-01    4.41e6  0.00
 NOQ    ENE     UU    01       2   2004/06/30  2010/05/16 72A-08    5.19e6 -0.08
 NOQ    ENN     UU    01       2   2004/06/30  2010/05/16 72A-08    5.19e6 -0.08
 NOQ    ENE     UU    01       2   2010/05/17  2099/01/01 130-01    6.23e6 -0.08
 NOQ    ENN     UU    01       2   2010/05/17  2099/01/01 130-01    6.23e6 -0.08
 NOQ1   ENE     UU    01       2   2000/06/09  2004/06/29 K2        8.30e6 -0.08
 NOQ1   ENN     UU    01       2   2000/06/09  2004/06/29 K2        8.30e6 -0.08
 PKCU   HHE     UU    01       0   2013/07/01  2099/01/01 SMART-24R 4.27e6  0.00
 PKCU   HHN     UU    01       0   2013/07/01  2099/01/01 SMART-24R 4.27e6  0.00
 PKCU   HHZ     UU    01   exclude 2013/07/01  2099/01/01 SMART-24R 4.27e6  0.00
 PKCU   ENE     UU    01       0   2009/10/24  2099/01/01 SMART-24R 6.04e6  0.00
 PKCU   ENN     UU    01       0   2009/10/24  2099/01/01 SMART-24R 6.04e6  0.00
 PNSU   HHE     UU    01       0   2010/03/25  2099/01/01 Q330      5.87e6  0.00
 PNSU   HHN     UU    01       0   2010/03/25  2099/01/01 Q330      5.87e6  0.00
 PNSU   HHZ     UU    01   exclude 2010/03/25  2099/01/01 Q330      5.87e6  0.00
 PNSU   ENE     UU    01       0   2010/03/25  2099/01/01 Q330      8.30e6  0.00
 PNSU   ENN     UU    01       0   2010/03/25  2099/01/01 Q330      8.30e6  0.00
 PSUT   HHE     UU    01       0   2009/10/21  2099/01/01 Q330      5.87e6  0.00
 PSUT   HHN     UU    01       0   2009/10/21  2099/01/01 Q330      5.87e6  0.00
 PSUT   HHZ     UU    01   exclude 2009/10/21  2099/01/01 Q330      5.87e6  0.00
 PSUT   ENE     UU    01       0   2009/10/21  2099/01/01 Q330      8.30e6  0.00
 PSUT   ENN     UU    01       0   2009/10/21  2099/01/01 Q330      8.30e6  0.00
 RDMU   HHE     UU    01       1   2009/12/02  2099/01/01 SMART-24R 4.27e6 -0.15
 RDMU   HHN     UU    01       1   2009/12/02  2099/01/01 SMART-24R 4.27e6 -0.15
 RDMU   HHZ     UU    01   exclude 2009/12/02  2099/01/01 SMART-24R 4.27e6  0.00
 RDMU   ENE     UU    01       2   2009/12/02  2099/01/01 SMART-24R 6.04e6 -0.15
 RDMU   ENN     UU    01       2   2009/12/02  2099/01/01 SMART-24R 6.04e6 -0.15
 REDW   BHE     IW    01       0   2012/10/01  2016/09/30 130-01    4.41e6  0.00
 REDW   BHN     IW    01       0   2012/10/01  2016/09/30 130-01    4.41e6  0.00
 REDW   BHZ     IW    01   exclude 2012/10/01  2016/09/30 130-01    4.41e6  0.00
 REDW   BH1     IW    00       0   2013/07/25  2099/01/01 130-01    4.41e6  0.00
 REDW   BH2     IW    00       0   2013/07/25  2099/01/01 130-01    4.41e6  0.00
 REDW   BHZ     IW    00   exclude 2013/07/25  2099/01/01 130-01    4.41e6  0.00
 RWWY   BHE     IW    01       0   2013/12/17  2016/09/30 130-01    4.41e6  0.00
 RWWY   BHN     IW    01       0   2013/12/17  2016/09/30 130-01    4.41e6  0.00
 RWWY   BHZ     IW    01   exclude 2013/12/17  2016/09/30 130-01    4.41e6  0.00
 RWWY   BH1     IW    00       0   2013/07/29  2099/01/01 130-01    4.41e6  0.00
 RWWY   BH2     IW    00       0   2013/07/29  2099/01/01 130-01    4.41e6  0.00
 RWWY   BHZ     IW    00   exclude 2013/07/29  2099/01/01 130-01    4.41e6  0.00
 SLC    ELE     UU    02       1   1985/07/10  2005/12/26 None      0.00e0 -0.21
 SLC    ELN     UU    02       1   1985/07/10  2005/12/26 None      0.00e0 -0.21
 SLC    ELE     UU    01       2   1994/01/05  2005/12/26 Masscomp  1.90e3 -0.21
