Evid,EqLon,EqLat,EqDep,CatMag,Namps
50261335,-110.809,44.77,4.76,1.43,3
50261360,-110.742,44.588,9.14,0.54,3
50261370,-110.746,44.584,8.06,0.98,3
50261375,-110.748,44.59,7.71,1.82,3
50261380,-110.737,44.584,8.6,0.52,3
50261390,-110.749,44.577,8.3,0.97,3
50261500,-110.822,44.763,8.6,1.75,4
50261565,-110.619,44.456,3.36,1.65,3
50261730,-110.772,44.754,7.76,1.78,3
50261985,-110.602,44.464,3.66,2.58,2
50262225,-110.302,44.719,4.89,2.36,2
50262230,-111.035,44.428,11.64,2.04,2
50262740,-110.816,44.431,3.28,1.85,3
50262770,-110.644,44.709,6.77,1.77,3
50262850,-110.796,44.426,1.11,2.19,3
50262925,-110.814,44.434,2.87,1.98,3
50263100,-110.809,44.744,5.82,1.62,3
50263135,-111.125,44.802,11.82,1.55,2
50263220,-110.712,44.603,3.85,1.09,3
50263320,-111.23,44.818,11.7,2.51,4
50263520,-110.696,44.6,5.12,1.61,3
50263530,-110.683,44.602,6.17,1.08,3
50263795,-110.971,44.617,11.84,1.85,4
50264195,-110.97,44.618,11.98,1.77,4
50264255,-110.972,44.616,12.15,2.3,4
50264265,-110.847,44.716,6.26,2.02,3
50264295,-110.805,44.751,5.41,1.56,3
50264375,-110.474,44.806,9.41,1.35,2
50264685,-111.335,44.845,7.78,1.49,2
50264975,-110.605,44.456,3.66,1.26,2
50265650,-111.145,44.768,12.14,1.99,4
50265865,-110.511,44.104,6.95,1.78,2
50265900,-110.503,44.096,6.59,2.75,3
50265925,-110.507,44.094,4.34,1.58,2
50265975,-110.509,44.094,7.14,2.61,2
50266055,-110.502,44.095,3.45,2.13,2
50266115,-110.507,44.093,4.01,2.32,2
50266210,-110.494,44.795,6.64,1.18,3
50266490,-111.085,44.761,10.59,1.82,2
50266685,-110.887,44.752,6.67,1.49,4
50266790,-110.878,44.749,7.01,1.75,4
50266810,-110.879,44.751,6.88,1.57,4
50266890,-110.882,44.75,6.91,1.38,3
50266925,-110.885,44.749,6.03,1.19,3
50266990,-110.889,44.756,6.23,1.51,4
50267010,-110.88,44.755,6.92,1.3,3
50267025,-110.901,44.78,6.12,1.52,4
50267030,-110.88,44.749,5.37,2.02,4
50267045,-110.891,44.752,5.3,1.98,4
50267050,-110.89,44.751,6.43,2.08,4
50267060,-110.879,44.75,7.81,1.6,4
50267080,-110.885,44.752,4.87,2.13,4
50267085,-110.882,44.75,6.15,2.09,4
50267090,-110.895,44.752,6.49,1.87,4
50267100,-110.887,44.755,7.42,1.62,4
50267125,-110.886,44.755,7.2,1.77,4
50267170,-110.88,44.752,7.35,1.56,4
50267190,-110.894,44.755,6.84,1.33,4
50267225,-110.894,44.758,6.68,1.22,3
50267230,-110.878,44.756,4.77,1.52,3
50267240,-110.881,44.759,7.85,1.16,3
50267250,-110.881,44.753,5.76,1.8,4
50267275,-110.875,44.756,7.38,1.23,3
50267285,-110.881,44.752,5.34,1.37,3
50267355,-110.884,44.752,7.29,1.57,4
50267385,-110.874,44.76,4.78,1.84,4
50267625,-110.887,44.753,7.48,2.5,4
50267665,-110.884,44.756,7.86,2.78,3
50267670,-110.888,44.746,8.48,2.14,4
50267895,-110.877,44.75,6.73,1.54,4
50267915,-110.87,44.768,4.64,1.58,4
50267925,-110.88,44.762,8.48,2.62,4
50268080,-110.879,44.747,7.37,2.41,4
50268085,-110.879,44.751,7.92,2.09,4
50268520,-110.343,44.422,6.65,2.14,3
50268555,-110.317,44.422,8.96,1.74,3
50268590,-110.89,44.759,7.29,1.69,4
50268610,-110.174,44.358,1.7,1.86,2
50268615,-111.164,44.763,9.24,2.36,5
50268640,-110.891,44.758,7.13,1.44,3
50268680,-110.889,44.76,6.62,1.47,4
50268705,-110.888,44.76,8.12,1.77,4
50268815,-110.893,44.761,7.85,2.24,4
50268960,-110.681,44.632,5.0,1.48,3
